,Job Openings,Professional and Business Services,Professional and Business Services,Hires,Professional and Business Services,Professional and Business Services,Total Separations,Professional and Business Services,Professional and Business Services,Quits,Professional and Business Services,Professional and Business Services,Layoffs and Discharges,Total Private,Total Private
02/26/2021,,1390,6,,1103,5,,1058,5,,572,3,,1688,1
01/29/2021,,1404,6,,1078,5,,1003,5,,580,3,,1634,1
12/31/2020,,1478,7,,1121,6,,1007,5,,581,3,,1734,1
11/30/2020,,1261,6,,1220,6,,1123,6,,592,3,,1930,2
10/30/2020,,1225,6,,1102,5,,1036,5,,619,3,,1483,1
09/30/2020,,1235,6,,1116,6,,1062,5,,669,3,,1406,1
08/31/2020,,1155,6,,1355,7,,976,5,,546,3,,1485,1
07/31/2020,,1184,6,,1100,6,,1058,5,,572,3,,1741,2
06/30/2020,,1016,5,,1176,6,,888,5,,412,2,,2030,2
05/29/2020,,883,4,,954,5,,913,5,,422,2,,1911,2
04/30/2020,,837,4,,798,4,,1751,9,,432,2,,9026,8
03/31/2020,,1042,5,,1116,5,,1931,9,,583,3,,12801,10
02/28/2020,,1307,6,,1126,5,,1098,5,,622,3,,1860,1
01/31/2020,,1285,6,,1164,5,,1164,5,,696,3,,1692,1
12/31/2019,,1233,5,,1160,5,,1175,6,,633,3,,1874,2
11/29/2019,,1208,5,,1148,5,,1113,5,,622,3,,1687,1
10/31/2019,,1207,5,,1110,5,,1081,5,,620,3,,1673,1
09/30/2019,,1255,6,,1168,6,,1129,5,,634,3,,1880,2
08/30/2019,,1277,6,,1142,5,,1111,5,,647,3,,1699,1
07/31/2019,,1283,6,,1174,6,,1145,5,,682,3,,1727,1
06/28/2019,,1285,6,,1104,5,,1076,5,,632,3,,1672,1
05/31/2019,,1272,6,,1134,5,,1115,5,,633,3,,1688,1
04/30/2019,,1169,5,,1257,6,,1199,6,,655,3,,1851,1
03/29/2019,,1331,6,,1167,6,,1159,6,,698,3,,1621,1
02/28/2019,,1383,6,,1172,6,,1136,5,,661,3,,1656,1
01/31/2019,,1374,6,,1056,5,,1070,5,,654,3,,1571,1
12/31/2018,,1357,6,,1167,6,,1145,5,,627,3,,1729,1
11/30/2018,,1348,6,,1136,5,,1113,5,,627,3,,1809,1
10/31/2018,,1350,6,,1181,6,,1150,6,,652,3,,1719,1
09/28/2018,,1345,6,,1106,5,,1052,5,,600,3,,1675,1
08/31/2018,,1329,6,,1115,5,,1068,5,,605,3,,1696,1
07/31/2018,,1256,6,,1131,5,,1107,5,,639,3,,1667,1
06/29/2018,,1269,6,,1200,6,,1155,6,,657,3,,1703,1
05/31/2018,,1234,6,,1173,6,,1141,6,,642,3,,1679,1
04/30/2018,,1192,5,,1121,5,,1087,5,,681,3,,1646,1
03/29/2018,,1188,5,,1173,6,,1129,5,,635,3,,1678,1
02/28/2018,,1106,5,,1162,6,,1115,5,,636,3,,1654,1
01/31/2018,,1118,5,,1087,5,,1032,5,,561,3,,1887,2
12/29/2017,,962,4,,1078,5,,1015,5,,628,3,,1554,1
11/30/2017,,1042,5,,1114,5,,1094,5,,678,3,,1637,1
10/31/2017,,1316,6,,1179,6,,1132,6,,647,3,,1727,1
09/29/2017,,1123,5,,1146,6,,1135,6,,666,3,,1771,1
08/31/2017,,1113,5,,1152,6,,1118,5,,658,3,,1773,1
07/31/2017,,1118,5,,1179,6,,1119,5,,605,3,,1740,1
06/30/2017,,1246,6,,1246,6,,1198,6,,619,3,,1831,2
05/31/2017,,1016,5,,1096,5,,1074,5,,583,3,,1693,1
04/28/2017,,1029,5,,1008,5,,1006,5,,580,3,,1597,1
03/31/2017,,1016,5,,1052,5,,1012,5,,586,3,,1664,1
02/28/2017,,984,5,,1048,5,,1030,5,,565,3,,1608,1
01/31/2017,,996,5,,1136,6,,1079,5,,640,3,,1637,1
12/30/2016,,1081,5,,1105,5,,1042,5,,605,3,,1621,1
11/30/2016,,1227,6,,1116,6,,1095,5,,585,3,,1633,1
10/31/2016,,985,5,,1057,5,,1060,5,,612,3,,1557,1
09/30/2016,,1204,6,,1095,5,,1015,5,,617,3,,1474,1
08/31/2016,,1105,5,,1105,6,,1084,5,,594,3,,1717,1
07/29/2016,,1248,6,,1187,6,,1123,6,,617,3,,1675,1
06/30/2016,,1143,5,,1070,5,,1025,5,,543,3,,1646,1
05/31/2016,,1163,6,,1096,6,,1142,6,,679,3,,1691,1
04/29/2016,,1049,5,,1097,6,,1084,5,,581,3,,1657,1
03/31/2016,,1471,7,,1112,6,,1081,5,,543,3,,1742,1
