Job Openings & Labor Turnover - United States,FactSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Bureau of Labor Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02/26/2021,01/29/2021,12/31/2020,11/30/2020,10/30/2020,09/30/2020,08/31/2020,07/31/2020,06/30/2020,05/29/2020,04/30/2020,03/31/2020,02/28/2020,01/31/2020,12/31/2019,11/29/2019,10/31/2019,09/30/2019,08/30/2019,07/31/2019,06/28/2019,05/31/2019,04/30/2019,03/29/2019,02/28/2019,01/31/2019,12/31/2018,11/30/2018,10/31/2018,09/28/2018,08/31/2018,07/31/2018,06/29/2018,05/31/2018,04/30/2018,03/29/2018,02/28/2018,01/31/2018,12/29/2017,11/30/2017,10/31/2017,09/29/2017,08/31/2017,07/31/2017,06/30/2017,05/31/2017,04/28/2017,03/31/2017,02/28/2017,01/31/2017,12/30/2016,11/30/2016,10/31/2016,09/30/2016,08/31/2016,07/29/2016,06/30/2016,05/31/2016,04/29/2016,03/31/2016
Job Openings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional and Business Services,"1,390.0","1,404.0","1,478.0","1,261.0","1,225.0","1,235.0","1,155.0","1,184.0","1,016.0",883.0,837.0,"1,042.0","1,307.0","1,285.0","1,233.0","1,208.0","1,207.0","1,255.0","1,277.0","1,283.0","1,285.0","1,272.0","1,169.0","1,331.0","1,383.0","1,374.0","1,357.0","1,348.0","1,350.0","1,345.0","1,329.0","1,256.0","1,269.0","1,234.0","1,192.0","1,188.0","1,106.0","1,118.0",962.0,"1,042.0","1,316.0","1,123.0","1,113.0","1,118.0","1,246.0","1,016.0","1,029.0","1,016.0",984.0,996.0,"1,081.0","1,227.0",985.0,"1,204.0","1,105.0","1,248.0","1,143.0","1,163.0","1,049.0","1,471.0"
Professional and Business Services,6.3,6.4,6.7,5.8,5.7,5.8,5.5,5.7,4.9,4.4,4.2,4.7,5.7,5.7,5.4,5.3,5.3,5.6,5.6,5.7,5.7,5.7,5.2,5.9,6.1,6.1,6.0,6.0,6.0,6.0,6.0,5.7,5.7,5.6,5.4,5.4,5.1,5.1,4.4,4.8,6.0,5.2,5.1,5.2,5.7,4.7,4.8,4.7,4.6,4.7,5.1,5.7,4.6,5.6,5.2,5.8,5.4,5.5,5.0,6.9
Hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional and Business Services,"1,103.0","1,078.0","1,121.0","1,220.0","1,102.0","1,116.0","1,355.0","1,100.0","1,176.0",954.0,798.0,"1,116.0","1,126.0","1,164.0","1,160.0","1,148.0","1,110.0","1,168.0","1,142.0","1,174.0","1,104.0","1,134.0","1,257.0","1,167.0","1,172.0","1,056.0","1,167.0","1,136.0","1,181.0","1,106.0","1,115.0","1,131.0","1,200.0","1,173.0","1,121.0","1,173.0","1,162.0","1,087.0","1,078.0","1,114.0","1,179.0","1,146.0","1,152.0","1,179.0","1,246.0","1,096.0","1,008.0","1,052.0","1,048.0","1,136.0","1,105.0","1,116.0","1,057.0","1,095.0","1,105.0","1,187.0","1,070.0","1,096.0","1,097.0","1,112.0"
Professional and Business Services,5.3,5.2,5.5,6.0,5.4,5.6,6.8,5.6,6.0,5.0,4.2,5.2,5.2,5.4,5.4,5.4,5.2,5.5,5.4,5.5,5.2,5.3,5.9,5.5,5.5,5.0,5.5,5.4,5.6,5.3,5.3,5.4,5.7,5.6,5.4,5.6,5.6,5.2,5.2,5.4,5.7,5.6,5.6,5.7,6.1,5.4,4.9,5.2,5.2,5.6,5.4,5.5,5.2,5.4,5.5,5.9,5.3,5.5,5.5,5.6
Total Separations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional and Business Services,"1,058.0","1,003.0","1,007.0","1,123.0","1,036.0","1,062.0",976.0,"1,058.0",888.0,913.0,"1,751.0","1,931.0","1,098.0","1,164.0","1,175.0","1,113.0","1,081.0","1,129.0","1,111.0","1,145.0","1,076.0","1,115.0","1,199.0","1,159.0","1,136.0","1,070.0","1,145.0","1,113.0","1,150.0","1,052.0","1,068.0","1,107.0","1,155.0","1,141.0","1,087.0","1,129.0","1,115.0","1,032.0","1,015.0","1,094.0","1,132.0","1,135.0","1,118.0","1,119.0","1,198.0","1,074.0","1,006.0","1,012.0","1,030.0","1,079.0","1,042.0","1,095.0","1,060.0","1,015.0","1,084.0","1,123.0","1,025.0","1,142.0","1,084.0","1,081.0"
Professional and Business Services,5.1,4.9,4.9,5.5,5.1,5.3,4.9,5.4,4.5,4.7,9.2,9.1,5.1,5.4,5.5,5.2,5.1,5.3,5.2,5.4,5.1,5.3,5.7,5.5,5.4,5.1,5.4,5.3,5.5,5.0,5.1,5.3,5.5,5.5,5.2,5.4,5.4,5.0,4.9,5.3,5.5,5.5,5.4,5.4,5.8,5.3,4.9,5.0,5.1,5.3,5.1,5.4,5.2,5.0,5.4,5.6,5.1,5.7,5.4,5.4
Quits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional and Business Services,572.0,580.0,581.0,592.0,619.0,669.0,546.0,572.0,412.0,422.0,432.0,583.0,622.0,696.0,633.0,622.0,620.0,634.0,647.0,682.0,632.0,633.0,655.0,698.0,661.0,654.0,627.0,627.0,652.0,600.0,605.0,639.0,657.0,642.0,681.0,635.0,636.0,561.0,628.0,678.0,647.0,666.0,658.0,605.0,619.0,583.0,580.0,586.0,565.0,640.0,605.0,585.0,612.0,617.0,594.0,617.0,543.0,679.0,581.0,543.0
Professional and Business Services,2.8,2.8,2.8,2.9,3.0,3.3,2.7,2.9,2.1,2.2,2.3,2.7,2.9,3.2,3.0,2.9,2.9,3.0,3.0,3.2,3.0,3.0,3.1,3.3,3.1,3.1,3.0,3.0,3.1,2.9,2.9,3.0,3.1,3.1,3.3,3.1,3.1,2.7,3.0,3.3,3.1,3.2,3.2,2.9,3.0,2.9,2.8,2.9,2.8,3.1,3.0,2.9,3.0,3.1,3.0,3.1,2.7,3.4,2.9,2.7
Layoffs and Discharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Private,"1,688.0","1,634.0","1,734.0","1,930.0","1,483.0","1,406.0","1,485.0","1,741.0","2,030.0","1,911.0","9,026.0","12,801.0","1,860.0","1,692.0","1,874.0","1,687.0","1,673.0","1,880.0","1,699.0","1,727.0","1,672.0","1,688.0","1,851.0","1,621.0","1,656.0","1,571.0","1,729.0","1,809.0","1,719.0","1,675.0","1,696.0","1,667.0","1,703.0","1,679.0","1,646.0","1,678.0","1,654.0","1,887.0","1,554.0","1,637.0","1,727.0","1,771.0","1,773.0","1,740.0","1,831.0","1,693.0","1,597.0","1,664.0","1,608.0","1,637.0","1,621.0","1,633.0","1,557.0","1,474.0","1,717.0","1,675.0","1,646.0","1,691.0","1,657.0","1,742.0"
Total Private,1.4,1.3,1.4,1.6,1.2,1.2,1.2,1.5,1.7,1.7,8.3,10.0,1.4,1.3,1.5,1.3,1.3,1.5,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.2,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.5,1.2,1.3,1.4,1.4,1.4,1.4,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.4,1.4,1.3,1.4,1.4,1.4
